id,description
73,"Live simply guitar t-shirt - Live life unplugged. The tee is made from soft, ringspun 100% organic cotton fabric with artwork by Geoff McFetridge. Taped shoulder seams and double stitched sleeves and hem provide durability; coverstitching at sleeve and neck add a clean finish. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
74,"Logo hat - Your unflappable road-tripping companion - this 100% organic cotton hat disguises bed head, cuts glare when you're checking surf, and pulls chinward for an afternoon siesta. The go-anywhere design has a precurved brim, a rear elastic strap with nylon webbing for adjustability and a moisture-wicking headband for comfort. The low profile ensures a reliable bond during rogue gusts.<br><br><b>Details:</b><ul> <li>""Comfortable, 100% organic cotton fabric holds its shape""</li> <li>Shapeable brim shades face and reduces glare</li> <li>Rear webbing strap with adjustable buckle</li> <li>Moisture-wicking headband</li></ul><br><br><b>Fabric: </b>5.2-oz 100% organic cotton canvas<br><br><b>Weight: </b>(77 g 2.7 oz)<br><br>Made in China."
75,L/s hooded rashguard - The 30-UPF fabric of our Long-Sleeved Rashguard keeps the sun from sizzling your skin. Made from a durable and protective blend of 84% all-recycled polyester/16% spandex. With seamless underarm gussets and chafe-free construction. The drawstring loop at front secures to board shorts.<br><br><b>Details:</b><ul> <li>All-recycled polyester rashguard has 30-UPF sun protection</li> <li>Sun-blocking 3-panel hood with built-in neoprene visor snugs with locking drawcord</li> <li>Rear zip-pocket stores surf/paddle essentials</li> <li>Seamless underarm gussets and flat-seam construction avoids chafe</li> <li>Self-loop at front hem secures to board shorts</li></ul><br><br><b>Fabric: </b>5.8-oz 84% all-recycled polyester/16% spandex<br><br><b>Weight: </b>(239 g 8.3 oz)<br><br>Made in USA.
76,"L/s island hopper shirt - Serene in the face of serious heat and always up for a cleansing dunk in the hotel sink, an Island Hopper is traveler's manna. Its ultralight blend of moisture-wicking 65% all-recycled polyester and 35% organic cotton ventilates well; the light colors reflect the sun; and the oversized drop-in chest pockets (sized for a fly box, passport or both) have mesh vents to take in whatever breeze comes your way; with 2-button adjustable cuff, a straight hem and side vents. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Superlight, quick-drying all-recycled polyester and organic cotton plain weave""</li> <li>Easy access to drop-in passport-sized chest pockets through front mesh vents (for maximizing airflow)</li> <li>Coconut buttons</li> <li>2-button adjustable cuff</li> <li>Straight hem with side vents</li></ul><br><br><b>Fabric: </b>2.9-oz 65% all-recycled polyester/35% organic cotton plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(242 g 8.4 oz)<br><br>Made in Thailand."
77,L/s rashguard - The 30-UPF fabric of our Long-Sleeved Rashguard keeps the sun from sizzling your skin. Made from a durable and protective blend of 84% all-recycled polyester/16% spandex. With seamless underarm gussets and chafe-free construction. The drawstring loop at front secures to board shorts.<br><br><b>Details:</b><ul> <li>Recycled polyester (100%) rashguard has 30-UPF sun protection </li> <li>Mock turtleneck protects neck from sun and rolls over to shield from wetsuit zipper</li> <li>Seamless underarm gussets and flat-seam construction avoids chafe</li> <li>Self-loop at front hem secures to board shorts</li> <li>Flying-fish graphic (only on fog)</li></ul><br><br><b>Fabric: </b>5.8-oz 84% all-recycled polyester/16% spandex<br><br><b>Weight: </b>(187 g 6.5 oz)<br><br>Made in USA.
78,"L/s steersman shirt - This ain't no city shirt, unless you're in Manila. The Steersman is de-twanged ranch hand in a superlight, 100% organic cotton fabric with a crepelike crinkle that lifts away from the skin to promote cooling. Details include two chest pockets with button-flap closures, 2-button cuffs and a slight drop-tail waist. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Organic cotton fabric's crepe-like crinkle lifts fabric away from skin</li> <li>Two chest pockets with button-flap closures</li> <li>Double-needle reinforced seams; two button cuff</li> <li>Slight droptail waist</li></ul><br><br><b>Fabric: </b>3.4-oz organic cotton yarn dye. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(213 g 7.4 oz)<br><br>Made in Thailand."
79,"Lw endurance ankle socks - Fast-forward pursuits, like riding the White Rim in a day, have miles of inspiration followed by moments of doubt. At least your feet will stay consistently cool with the airy performance of these endurance socks. Made from several fibers that are constructed to feel weightless, they merge 40% merino wool (chlorine-free) for comfort and cushion, 25% Coolmax/20% nylon/12% polyester for durability and moisture-management and 3% spandex for stretch and recovery. The full merino-wool channel-knit under the foot creates superior cushioning for heel and toes, as well as airflow for the arch. The looped Lintoe ensures chafe-free toe comfort. Height is 3"".<br><br><b>Details:</b><ul> <li>""Lightweight, wool blend strategically knit for excellent breathability and wicking""</li> <li>""Full, channel-knit construction under the entire foot provides the most cushioning with the least bulk""</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li> <li>Flex zones at toe for comfort and to prevent bunching</li></ul><br><br><b>Fabric: </b>40% chlorine-free merino wool/25% Coolmax/20% nylon/12% polyester/3% spandex<br><br><b>Weight: </b>(28 g 1 oz)<br><br>Made in USA."
80,"Lw endurance quarter socks - Scraped, taped or inflamed  our ankles suffer in rough country. These endurance socks are made for miles of abusive terrain, with an over-the-ankle fit to frustrate brush and briar. Thin and lightweight, they feature a felted merino wool channel-knit construction for maximum cushioning with the least bulk. An open knit over the top of the foot increases breathability; the looped Lintoe provides chafe-free toe comfort. Made from 40% merino wool (chlorine-free)/25% Coolmax/20% nylon/12% polyester/3% spandex. Height is 6.5"".<br><br><b>Details:</b><ul> <li>Lightweight wool blend strategically knit for excellent breathability and wicking</li> <li>""Full, channel-knit construction under the entire foot provides the most cushioning with the least bulk""</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li> <li>Flex zones at toe for comfort and to prevent bunching</li></ul><br><br><b>Fabric: </b>40% chlorine-free merino wool/25% Coolmax/20% nylon/12% polyester/3% spandex<br><br><b>Weight: </b>(34 g 1.2 oz)<br><br>Made in USA."
81,"Lw hiking crew socks - Like suites for your feet, these stay-cool and breathable, multi-use socks feature a variable-knit, felted merino wool construction under the foot to disperse heat and cushion hard knocks. The welt is snug to reduce slipping; an arch band adds support. A combo of fibers improves moisture control and airflow: 62% chlorine-free merino wool/23% nylon/12% polyester/3% spandex. Height is 9.5"".<br><br><b>Details:</b><ul> <li>""Wool blend strategically knit to balance wicking performance, cushioning and durability""</li> <li>""Lightweight, looped construction on footbed and front shin for next-to-skin comfort and shin protection""</li> <li>""Felted wool yarns are chlorine-free, itch-free and offer long-term stability and performance""</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li></ul><br><br><b>Fabric: </b>62% chlorine-free merino wool/23% nylon/12% polyester/3% spandex<br><br><b>Weight: </b>(51 g 1.8 oz)<br><br>Made in USA."
82,"Lw r4 jkt - High off the deck on Warbonnet Peak in the immaculate Wind River Mountains, the naming of the range quickly makes sense. Our windproof and stretchy Lightweight R4 Jacket protects and warms with a Polartec Windbloc laminate sandwiched between a low-nap polyester microfleece face and a high/low grid polyester interior. Unlaminated R1 underarm panels (60% recycled polyester) enhance breathability and mobility, while a neck gasket seals out the elements. Seamless shoulders allow pack-wearing comfort. With three external pockets (the handwarmers stay clear of your harness), two internal drop-in pockets and a drawcord hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, durable low-nap microfleece face""</li> <li>Full-stretch Polartec Windbloc laminate</li> <li>R1 interior-grid construction speeds wicking</li> <li>Nonlaminated R1 fabric (made with recycled polyester) under the arms enhances mobility and breathability</li> <li>""Drawcord collar with Supplex stand, protective chin flap for comfort, seamless shoulders for comfort under a pack""</li> <li>Pockets: zippered chest and zippered handwarmers placed above harness-line; two internal drop-in</li> <li>Drawcord waist</li></ul><br><br><b>Fabric: </b>Lightweight R4 shell: 8-oz Polartec Windbloc 100% polyester microfleece laminated to R1 Polartec Power Dry polyester. R1 panels: 6.5-oz Polartec Power Dry 93% polyester (60% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>510 g (18 oz)<br><br>Made in Colombia."
83,"Lw travel duffel - This wanderer's bag is large enough to hold the contents of your life without getting in the way. A large zippered entry to the roomy main compartment makes it easy to toss in a few essentials or stuff it to the max. An exterior side zipper pocket organizes small items; the top pocket holds music in backpack mode or wallet, phone, etc. in duffel mode. Tuckaway backpack straps and fully padded back and bottom panels provide comfort and durability however you use it. Compression straps and a cinch collar secure pretty much anything you want to attach to the outside, and the duffel stows away in its own pocket. Made from strong, extremely lightweight 50-denier triple-ripstop nylon with a polyurethane coating and a DWR (durable water repellent) finish. Reinforced with 150-denier polyester (47% recycled) double-weave ShiftLayer. ,A`~}<br><br><b>Details:</b><ul> <li>Large center-zip main compartment</li> <li>Exterior side zipper pocket organizes small essentials</li> <li>""Top pocket holds music in backpack mode or wallet, phone, etc. in duffel mode""</li> <li>Tuck-away backpack straps</li> <li>Back and bottom padded for comfort and durability</li> <li>""Compression straps and cinch collar hold helmet, shoes, yoga mat, etc.""</li></ul><br><br><b>Fabric: </b>50-denier 100% nylon triple ripstop with polyurethane coating and a DWR (durable water repellent) finish. Reinforcements: 150-denier 100% polyester (47% recycled) double-weave ShiftLayer<br><br><b>Weight: </b>(0 g 0 oz)<br><br>Made in Philippines."
84,"Lw travel pack - In the lifelong search for a place to call home, we all do time on the road. This super-lightweight travel backpack holds everything you need for road trips, hikes or perusing the market, and it stuffs into its own pocket. The main compartment uses a simple drawstring closure to keep gear safe and packed tight. There's also a zippered lid pocket for quick access to smaller items. Exterior mesh pockets hold bottles, shell, gloves, etc. Breathable shoulder straps and a webbing waistbelt distribute the load and keep you comfortable. The lightweight foam back pad can be removed for use as a sitting pad. Made from strong, extremely lightweight 50-denier triple-ripstop nylon with a polyurethane coating and a DWR (durable water repellent) finish. Reinforced with 150-denier polyester (47% recycled) double-weave ShiftLayer.<br><br><b>Details:</b><ul> <li>Main pocket with cinch drawcord to keep gear safe and secured</li> <li>Lid pocket organizes your smaller items for easy access</li> <li>""Exterior mesh pockets hold bottles, shell, etc""</li> <li>Breathable shoulder straps and webbing waistbelt</li> <li>Back pad can be removed for use as a sit pad</li></ul><br><br><b>Fabric: </b>50-denier 100% nylon triple ripstop with polyurethane coating and a DWR (durable water repellent) finish. Reinforcements: 150-denier 100% polyester (47% recycled) double-weave ShiftLayer<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Philippines."
85,"M10 jkt - Made for those who thrive on thin and technical climbs in full alpine conditions, the new M10 is a study in minimalism - and our lightest 3-layer hard shell. The soft, pliable waterproof/breathable nylon ripstop fabric yields superb durability for its weight and protects against monsoon-season precip and summit ridge gusts. Details include watertight zippers, a microfleece-lined neck and chin, an exterior zippered left-chest pocket, zippered handwarmer pockets that serve double-duty by extending into pit zips, and cuffs that adjust with hook-and-loop closures. A single pull adjusts the 3-way helmet-compatible hood (with laminated visor) - it's the little things that make life a joy when dealing with wooden fingers, a gloved hand and torrential spindrift. Slim fit for technical use over light-to-medium layers.<br><br><b>Details:</b><ul> <li>3-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>""Single-pull, 3-way-adjustable helmet-compatible hood with laminated visor""</li> <li>Microfleece-lined neck and chin for comfort and enhanced protection of barrier</li> <li>Watertight zippers for wet-weather performance; zippers on handwarmer pockets extend to pit zips for ventilation</li> <li>Exterior left-chest zippered pocket</li> <li>Self-fabric hook-and-loop cuff closures</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>""3-layer, 2.2-oz 15-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>306 g (10.8 oz)<br><br>Made in Vietnam."
86,"M10 pants - Volatile climates don't rule out big adventures, they just call for ingenious techniques - like the time-honored alpine sprint. And, just in case, some bombproof protection: our newest and lightest 3-layer hard shell. The M10's soft, pliable waterproof/breathable nylon ripstop fabric yields superb durability for its weight and protects against monsoon-season precip and summit ridge gusts. The technical pull-on pant has an elasticized, separating waistband with a watertight 2-way zippered fly for hassle-free, harness-wearing functionality; ankle cuffs with shock-cord adjustments, interior webbing tie-down loops and watertight 2-way zippers that extend to the articulated knees; and watertight zippers that close the pockets (right back hip and thigh).<br><br><b>Details:</b><ul> <li>3-layer fabric with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>""Elasticized, separating waistband with 2-way watertight zippered fly""</li> <li>Pockets: right thigh and back - both with watertight zippers</li> <li>Articulated knees</li> <li>Shock cord adjustable ankle cuffs with 2-way watertight zipper to the knees</li> <li>Hem cuff features interior webbing tie-down loops</li></ul><br><br><b>Fabric: </b>""3-layer, 2.2-oz 15-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(245 g 8.5 oz)<br><br>Made in Vietnam."
87,"Merino 1 crew - In a day packed with decisions, this one's easy. Worn alone, this versatile long-sleeved crew feels cool and dry against the skin; worn beneath layers in colder locales, it feels soft and warm. Our lightest merino layer, Merino 1 offers great technical performance: naturally resisting odor, moving moisture away from the skin and improving dry times, regulating body temperature, and maintaining a consistent stretch. It's made from a silky-soft yet durable jersey-knit of 63% merino wool wrapped around an all-recycled polyester (37%) core. Wide cuff bands hold sleeves in place, and offset shoulder seams pair nicely with pack straps. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable, stretches and provides superior performance and softness; 16.5 micron-gauge yarn and jersey-knit construction for luxurious hand""</li> <li>""All- recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band</li> <li>Offset shoulder seams for comfort beneath pack straps</li> <li>Wide cuff bands help keep sleeves in place when pulled up</li> <li>Straight hem</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>3.2-oz (108-g) 63% 16.5 micron chlorine-free merino wool/37% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>138 g (4.9 oz)<br><br>Made in USA."
88,"Merino 1 t-shirt - The bus ride out of Tlachichuca packs in more bodies than miles. Escape unruffled with the breathable, moisture-wicking qualities of this soft tee. Our lightest merino layer is a silky-soft yet highly durable jersey-knit made with 63% merino wool spun around an all-recycled polyester (37%) core. Super-comfortable on its own in warm temperatures or beneath layers in cooler ones, it offers great technical performance: naturally resisting odor, moving moisture away from the skin and improving dry times, regulating body temperature, and stretching along with you. Offset shoulder seams and a smooth collar band add reassuring comfort for the road-weary. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable, stretches and provides superior performance and softness""</li> <li>16.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band</li> <li>Offset shoulder seams for comfort beneath pack straps</li> <li>Straight hem</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>3.2-oz (108-g) 63% 16.5 micron chlorine-free merino wool/37% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(95 g 3.3 oz)<br><br>Made in USA."
89,"Merino 2 polo - The feel is bohemian, the look should at least get your foot in the door. Designed for an active lifestyle in warm to cool weather, Merino 2 is made from 73% merino wool wrapped around an all-recycled polyester (27%) core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. Features include set-in sleeves and offset shoulder seams that won't chafe beneath pack straps, a soft double-layered collar for comfort and a fully covered zip-neck that feels smooth against the skin. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness dry""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>""Double-layer polo collar with stand provides soft, structured comfort at neck""</li> <li>Zipper fully covered for next-to-skin comfort</li> <li>Set-in sleeves and offset shoulder seams for streamlined fit</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(152 g 5.3 oz)<br><br>Made in USA."
90,"Merino 2 t-shirt - Stay calm and collected amid the frenzy of Namche Bazaar in this versatile layer. Designed for an active lifestyle in warm to cool weather, Merino 2 is made from 73% merino wool wrapped around an all-recycled polyester (27%) core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. Features include raglan sleeves and offset side seams that won't chafe beneath pack straps, a self-fabric collar for soft comfort and overlocked seams for a clean aesthetic. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self-fabric collar band for comfort without binding</li> <li>Raglan sleeve seams won't chafe beneath pack straps</li> <li>Side seams offset to eliminate irritation</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(141 g 4.9 oz)<br><br>Made in USA."
91,"Migration hemp shirt - Summerweight and soft, the Migration represents an inspired merger of 55% durable hemp and 45% plush organic cotton fabrics. Lightweight and cool against the skin, it travels easily between a morning of bouldering and the afternoon commute to Grand Junction. Offset shoulder seams stay smooth under the weight of a courier's bag. Comes with a side-vented straight hem and a button-through chest pocket. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Soft breathable hemp and organic cotton</li> <li>Forward shoulder seams</li> <li>Button-through chest pocket</li> <li>Straight hem with side vents</li></ul><br><br><b>Fabric: </b>4-oz 55% hemp/45% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>223 g (7.9 oz)<br><br>Made in China."
92,"Minimalist board shorts-19 in. - The Minimalist is perfectly proportioned - nothing wasted, nothing wanted. Made from light but durable 4.3-oz 100% nylon with a quick-drying DWR finish, these classic 9""""-inseam boardies hit at the knee and don't chafe. The self-draining, zippered side-seam pocket has a key loop, and the single-button fly provides easy entry and stay-on power. Outseam (size 32) is 19"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recyclable, lightweight nylon is durable, quick-drying""</li> <li>""Flat-lying single-button fly and 3-piece, self-lined waistband contours to hip line""</li> <li>""Self-draining, side-seam zip pocket with a secure zip, and internal key loop""</li> <li>Forward inseam at crotch eliminates chafing</li> <li>""Inseam is 9""""; outseam is 19""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(173 g 6 oz)<br><br>Made in Thailand."
93,"Minimass - The Mini Mass's lesser size lets you thread narrow streets and airplane aisles without leaving chaos in your wake. This less-is-more bag has a main padded compartment with mesh organizational sleeves for pens and a phone, and a front catch pocket that's divided for further organization. A large front flap includes a stealthy zip pocket for quick-grab essentials and a reflective strip for after-hours visibility. The clean shoulder strap adjusts easily so you can sling the Mini over your head when bicycle commuting. Made from a lightweight yet tough 600-denier all-recycled polyester exterior and a slick 200-denier polyester liner; both are coated with polyurethane and a DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Main flap opens to largest compartment containing organization pocket and pen slots</li> <li>Front catch pocket has divider for load control and organization</li> <li>External organizer pocket on the face of the flap for quick-grab items</li> <li>Adjustable shoulder strap</li> <li>Reflective strip improves visibility in low light</li></ul><br><br><b>Fabric: </b>8.4-oz 600-denier 100% all-recycled polyester. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Vietnam."
94,"Mlc wheelie - The alpinist's saying  speed is of the essence  never rings truer than in teeming airport terminals. Roll up the ramp, past the crowd at the baggage carousel and out the door with this slightly more structured, wheeled version of our utilitarian MLC (Maximum Legal Carry-on). The MLC Wheelie has a super robust wheel package and a retractable U-shaped handle for better steering, control, ergonomics and durability. The main compartment holds three to five days' worth of clothes and has three zippered pockets for toiletries and electronics. Another pocket holds a 15-inch or smaller laptop. Exterior zippered pockets provide easy access to travel docs and vital gear   there's even a fleece-lined pocket for sunglasses. When the going gets bumpy, you can shoulder the load with backpack straps that hide away when not in use. Built with a 1,200-denier recycled polyester exterior and a 200-denier polyester lining; both have a polyurethane coating and DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Main zippered compartment features: three zippered pockets for toiletries and electronics; another pocket holds a 15-inch or smaller laptop</li> <li>""Exterior zippered pocket provides easy-access to airline tickets and passport; fleece-lined zippered pocket is for safe transport of electronics and eyewear, and gives easy-access to office organizer""</li> <li>Padded base provides structure and protects contents</li> <li>""2-position retractable handle built for superior steering, control, ergonomics and durability""</li> <li>""Fabric handle for hand-carrying; can also carry as a backpack - in backpack mode, straps stow in a zippered compartment""</li> <li>Latest in wheel technology with smooth rolling 80-mm wheels</li> <li>Stowable business card holder to ID your bag</li></ul><br><br><b>Fabric: </b>11-oz 1200-denier 100% all-recycled polyester. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish<br><br><b>Weight: </b>(2711 g 94 oz)<br><br>Made in Philippines."
95,"Mountain island t-shirt - For those who aspire to meld the mountain world with life at sea, the Mountain Island T-Shirt portrays the water cycle in a singular, confluent image. Rendered by artist Geoff McFetridge, The shirt's graphic is printed on organic cotton using PVC- and phthalate-free inks. Ringspun yarns and taped shoulder seams add softness. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
96,"Nine trails jkt - Somewhere between the Bridger Ridge Run (for normal trail-runners) and the Barkley Marathons (for the insane), we all find our stride. This jacket is made from lightweight, wind-resistant 15-denier 100% nylon that's treated with a Deluge DWR (durable water repellent) finish to shed light rain. Its exceptionally breathable stretch-woven back and underarm panels (91% all-recycled polyester/9% spandex) vent excess heat. The high-rise tricot-lined neck, revised wrists (now with improved elastic-style cuffs that are easily pushed up) and drawcord at the hem seal out chilly weather. The jacket stashes into its own internal chest pocket. Reflective heat-transfer logos (front and back) keep you visible.<br><br><b>Details:</b><ul> <li>""Light, slightly transparent, tough, triple-ripstop nylon soft shell on torso, arms and shoulders, and breathable recycled polyester stretch-woven fabric on back, and underarms; Deluge DWR (durable water repellent) finish for weather protection""</li> <li>Jacket stuffs into internal chest pocket</li> <li>Improved fit on lower sleeve and soft-shell fabric removed - sleeves are easily pushed up over forearms</li> <li>Drawcord at hem keeps wind out</li> <li>Reflective heat-transfer logos (front and back)</li> <li>Can be worn over baselayers and light midlayers</li></ul><br><br><b>Fabric: </b>Body: 1.1-oz 15-denier 100% nylon with 50-denier triple-ripstop yarns. Back and underarm panels: 3.5-oz 75-denier stretch woven 91% all-recycled  polyester/9% spandex. Jacket has a Deluge DWR finish<br><br><b>Weight: </b>(126 g 4.4 oz)<br><br>Made in Vietnam."
97,"Nine trails shorts - For those who view trails as their sanctuary, running means more than freedom of movement and lightness of being. Our versatile, pared-down Men's Nine Trails Shorts are made from a lightweight 75-denier 91% all-recycled polyester/9% spandex blend that has 4-way stretch, is tough yet highly breathable, and is treated with a Deluge DWR (durable water repellent) finish. The styling has ample coverage, the stitched-through pocket bags stay put, and the pockets (two front, one back) close with zippers for secure storage. An open-knit crotch gusset vents excess heat and eliminates chafing; the lightweight, breathable, moisture-wicking built-in liner extends into the waistband; and an interior drawcord fine-tunes the fit. Inseam (size M) is 8"". Reflective heat-transfer logo and reflective graphic keep you visible.<br><br><b>Details:</b><ul> <li>""Supple, soft, stretch-woven breathable fabric resists snagging and is recyclable; Deluge DWR (durable water repellent) finish for weather protection""</li> <li>""Lightweight, breathable, moisture-wicking, built-in liner extends into waistband for a comfortable fit""</li> <li>Interior drawcord</li> <li>Two front and one back pocket with zippered closures and stitched through pocket bags for secure storage</li> <li>Open-knit crotch gusset stays dry and puts an end to chafing</li> <li>Reflective heat-transfer logo and graphic</li> <li>""8"""" inseam""</li></ul><br><br><b>Fabric: </b>Body: 3.5-oz 75-denier 91% all-recycled polyester/9% spandex with 4-way stretch and Deluge DWR finish. Lining: 3.8-oz microdenier polyester crepe with moisturewicking  performance. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(181 g 6.3 oz)<br><br>Made in Vietnam."
98,"Organic logo t-shirt - Originally printed our first season debuting organic cotton, the classic Organic Logo T-Shirt commemorates Patagonia's commitment. The tee features original art by Geoff McFetridge that's printed with easy-on-the-environment PVC- and phthalate-free inks. Ringspun fabric yarns and taped shoulder seams add softness. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
99,"O web belt - A social gadabout  able to cross the divide between work wear, casual duds and a day at the crags. Quick-drying nylon (1 1/2"" wide) provides a formfitting lightweight hitch that won't stretch even if you're caught in saturated weather. The belt's ultra-strong forged aluminum buckle holds securely and features a notched end for prying the top off a cold one.<br><br><b>Details:</b><ul> <li>Quick-dry nylon webbing</li> <li>""Lightweight, forged aluminum buckle holds securely and features a bronzed finish""</li> <li>Buckle is strong and durable; notched for prying the top off a cold one</li></ul><br><br><b>Fabric: </b>""1&#189;"""" nylon webbing""<br><br><b>Weight: </b>(190 g 6.6 oz)<br><br>Made in Philippines."
100,"Paddler board shorts - Built for maximum comfort during friction-heavy activities, Paddler Board Shorts have a lightweight nylon outer fabric with a DWR (durable water repellent) finish and a smooth, loose-hanging 100% recycled polyester liner. Reversed-out hem seams also glide freely over the skin. Has a hidden 2-button fly with tie closure and self-draining zippered hip pocket. Inseam (size 32) is 9""; outseam, 21"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight nylon is durable, quick-drying""</li> <li>""Liner, attached at inseam and outseam, reduces chafe and provides quick drainage""</li> <li>Hidden 2-button fly with tie closure</li> <li>""Self-draining, zippered hip pocket""</li> <li>Reversed-out seam at hem reduces chafing</li> <li>""Inseam is 9""""; outseam is 21""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR (durable water repellent) finish. Lining: 2.3-oz 50-denier 100% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(239 g 8.3 oz)<br><br>Made in Thailand."
