"S","LPE","NP","ANH","TIC","Newborn"
0.19,0.71,5,148,4,0
0.48,0.86,3,146,2,0
0.63,0.68,2,207,4,1
0.59,0.95,2,225,6,0
0.9,0.75,4,233,4,0
0.74,0.51,4,187,4,0
0.14,0.87,4,273,4,0
0.85,0.92,3,263,4,0
0.69,0.87,3,244,3,0
0.73,0.99,3,206,3,0
0.75,0.88,5,179,2,0
0.88,0.92,4,227,2,1
0.7,0.94,4,229,3,1
0.8,0.59,3,230,3,0
0.77,0.89,3,230,4,0
0.87,0.76,5,264,3,1
0.68,0.51,4,133,3,0
0.98,0.67,4,203,4,0
0.67,0.41,5,280,2,0
0.48,0.85,3,186,3,1
0.82,0.93,4,158,6,0
0.62,0.67,3,119,3,0
0.56,0.88,5,229,2,1
0.78,0.38,6,225,3,0
0.61,0.77,4,183,3,0
0.69,0.9,3,253,2,0
0.99,0.83,6,229,5,0
0.87,0.67,5,184,2,0
0.21,0.89,3,180,5,0
0.83,0.88,4,162,3,0
0.23,0.68,4,256,5,1
0.88,0.94,5,167,2,0
0.83,0.7,4,138,2,0
0.85,0.61,5,178,3,0
0.73,0.6,3,141,3,0
0.22,0.44,5,111,5,0
0.9,0.64,4,216,4,0
0.96,0.82,3,140,3,0
0.55,0.62,5,222,2,0
0.88,0.91,4,178,3,1
0.64,0.76,3,214,3,1
0.54,0.44,6,171,3,0
0.56,0.9,3,163,2,1
0.62,0.88,5,162,3,0
0.71,0.81,5,266,4,0
0.78,0.98,3,135,3,0
0.91,0.85,3,218,4,0
0.61,0.71,4,274,2,0
0.5,0.82,5,127,3,1
0.88,0.68,5,273,3,0
0.77,0.71,3,146,3,1
0.53,0.68,4,226,4,0
0.15,0.79,3,184,5,1
0.22,0.94,3,251,6,0
0.79,0.61,3,223,3,1
0.56,0.78,4,267,2,1
0.8,0.96,3,270,3,1
0.55,0.87,3,246,2,1
0.15,0.38,5,156,6,0
0.55,0.69,4,247,3,0
0.57,0.67,3,140,4,1
0.53,0.52,3,262,3,1
0.51,0.47,4,188,2,0
0.23,0.52,5,160,5,0
0.88,0.52,4,191,2,0
0.7,0.81,3,164,3,0
0.79,0.52,5,172,2,0
0.49,0.57,4,263,3,0
0.79,0.78,4,99,4,1
0.81,0.5,3,236,4,0
0.9,0.87,4,139,5,0
0.59,0.41,4,237,2,0
0.72,0.88,5,211,2,1
0.74,0.82,4,287,5,0
0.91,0.67,4,208,2,0
0.68,0.87,4,257,3,1
0.83,0.88,5,196,4,0
0.61,0.8,3,227,3,0
0.17,0.88,6,138,4,1
0.71,0.63,4,249,2,0
0.73,0.81,4,236,4,0
0.49,0.96,3,180,2,1
0.81,0.74,3,230,2,0
0.82,0.5,5,173,2,0
0.96,0.91,4,208,3,0
0.78,0.77,3,156,3,0
0.84,0.6,5,230,3,1
0.77,0.58,4,197,4,1
0.51,0.7,2,112,2,1
0.81,0.55,4,160,4,0
0.59,0.54,3,185,2,0
0.77,0.92,4,234,3,1
0.36,0.41,3,159,3,0
0.75,0.94,5,181,2,0
0.77,0.62,5,202,2,0
0.63,0.66,3,192,2,0
0.51,0.76,3,243,2,0
0.79,0.62,5,201,4,0
0.71,0.85,4,221,3,0
0.51,0.53,4,132,4,0
0.62,0.96,4,236,2,0
0.7,0.67,5,215,3,0
0.72,0.98,5,148,2,0
0.37,0.65,4,164,2,0
0.93,0.58,3,150,4,0
0.54,0.47,5,144,6,0
0.57,0.6,3,187,3,0
0.95,0.73,4,253,3,0
0.67,0.53,3,181,3,0
0.75,0.76,4,242,3,0
0.48,0.98,4,106,3,0
0.48,0.69,3,161,2,0
0.63,0.5,4,250,3,0
0.99,0.64,5,265,3,1
0.2,0.71,5,108,6,0
0.53,0.92,3,246,2,0
1,0.93,3,136,3,0
0.56,0.91,5,244,2,0
0.57,0.62,4,171,3,0
0.56,0.67,3,192,2,0
0.65,0.7,3,209,3,1
0.89,0.5,5,211,5,0
0.71,0.84,4,266,4,0
0.76,0.72,3,250,2,0
0.77,0.49,4,261,4,0
0.97,0.85,4,142,2,0
